name,url,standard,address,id,result(total),result(error),result(warning),result(notice)
Quayside Medical Centre ,http://www.quaysidemedicalcentre.co.uk,WCAG2AAA,DN32 7DL,5d290b73edf8287f0f23bf45,91,18,9,64
Stirling Medical Centre,http://www.skumargpnel.nhs.uk/,WCAG2AAA,DN31 3AE,5d290b73edf8287f0f23bf46,65,17,13,35
Greenlands Surgery,http://www.greenlandssurgery.co.uk,WCAG2AAA,DN31 3AE,5d290b73edf8287f0f23bf47,112,24,23,65
Stirling Medical Centre (Mathews),http://www.drmathewgp.nhs.uk,WCAG2AAA,DN31 3AE,5d290b73edf8287f0f23bf48
Old Goole Branch,http://www.bartholomewmedicalgroup.co.uk/,WCAG2AAA,DN14 5RL,5d290b73edf8287f0f23bf49
St Patricks Surgery,http://www.withernseadoctors.co.uk,WCAG2AAA,5d290b73edf8287f0f23bf4a
Montague Medical Practice,http://www.montaguemedicalpractice.co.uk,WCAG2AAA,DN14 6JD,5d290b73edf8287f0f23bf4b
Scartho Medical Centre,http://www.scarthomedicalcentre.nhs.uk/,WCAG2AAA,DN33 3JF,5d290b73edf8287f0f23bf4c,269,53,75,141
Bartholomew Medical Group,http://www.bartholomewmedicalgroup.co.uk/,WCAG2AAA,DN14 6RU,5d290b73edf8287f0f23bf4d,373,35,104,234
Belton Branch Surgery,https://www.southaxholmepractice.nhs.uk,WCAG2AAA,DN9 1LR,5d290b73edf8287f0f23bf4e,389,183,12,194
Howden Medical Centre,http://www.howdenmedicalcentre.nhs.uk,WCAG2AAA,DN14 7DD,5d290b73edf8287f0f23bf4f,435,27,288,120
Weelsby View Health Centre,http://www.theroxtonpractice.nhs.uk,WCAG2AAA,DN32 9SW,5d290b73edf8287f0f23bf50,163,35,37,91
Weelsby View Health Centre - Drs Chalmers And Meier,http://www.drschalmersandmeier.me.uk/,WCAG2AAA,DN32 9SW,5d290b73edf8287f0f23bf51,365,197,114,54
The Roxton Practice Weelsby View branch,http://www.theroxtonpractice.nhs.uk/,WCAG2AAA,DN32 9SW,5d290b73edf8287f0f23bf52,163,35,37,91
Blundell Park Surgery,http://www.blundellparksurgery.nhs.uk/,WCAG2AAA,DN35 7DL,5d290b73edf8287f0f23bf53,102,21,21,60
Clee Medical Centre,http://www.cleemedicalcentre.nhs.uk/?categoryid=1,WCAG2AAA,DN35 7XE,5d290b73edf8287f0f23bf54,229,64,30,135
Beacon Medical,http://www.beaconmedical.nhs.uk,WCAG2AAA,DN35 8EB,5d290b73edf8287f0f23bf55,210,64,28,118
South Axholme Practice,https://www.southaxholmepractice.nhs.uk,WCAG2AAA,DN9 1EP,5d290b73edf8287f0f23bf56,389,183,12,194
"Greenlands Surgery, ",http://www.greenlandssurgery.co.uk,WCAG2AAA,DN36 4QG,5d290b73edf8287f0f23bf57,112,24,23,65
Pinfold Surgery,http://www.southaxholmepractice.nhs.uk/,WCAG2AAA,DN9 1AW,5d290b73edf8287f0f23bf58,398,183,15,200
South Holderness Medical Practice,http://www.withernseadoctors.co.uk,WCAG2AAA,5d290b73edf8287f0f23bf59
"The North Thoresby Practice, Holton-le-Clay",http://www.norththoresby.org.uk,WCAG2AAA,DN36 5YS,5d290b73edf8287f0f23bf5a
Binbrook Surgery,http://www.binbrooksurgery.co.uk/,WCAG2AAA,LN8 6ED,5d290b73edf8287f0f23bf5b,175,9,65,101
The Ridings Medical Group Bubwith Surgery,http://www.theridingsmedicalgroup.nhs.uk/,WCAG2AAA,YO8 6LY,5d290b73edf8287f0f23bf5c,120,50,19,51
Moorends Surgery,http://www.thornemoormedicalpractice.co.uk/site/home.html,WCAG2AAA,DN8 4SB,5d290b73edf8287f0f23bf5d,2,1,0,1
Market Rasen Surgery,http://www.marketrasensurgery.co.uk,WCAG2AAA,LN8 3BP,5d290b73edf8287f0f23bf5e,427,63,89,275
Pocklington Group Practice,http://www.pocklingtongps.nhs.uk,WCAG2AAA,YO42 2BS,5d290b73edf8287f0f23bf5f,251,65,17,169
Corringham Branch Surgery,http://www.willinghamsurgery.co.uk,WCAG2AAA,DN21 5QS,5d290b73edf8287f0f23bf60,701,12,544,145
Chestnut House Surgery,http://www.thornemoormedicalpractice.co.uk,WCAG2AAA,DN8 4BQ,5d290b73edf8287f0f23bf61,2,2,0,0
Northfield Surgery,http://www.northfieldsurgery.co.uk/home,WCAG2AAA,DN8 4BQ,5d290b73edf8287f0f23bf62
North Thoresby Surgery,http://www.norththoresby.org.uk,WCAG2AAA,DN36 5RT,5d290b73edf8287f0f23bf63
The Park Surgery,http://www.wickhamsurgery.co.uk/contact1.aspx,WCAG2AAA,SO32 3QQ,5d290b73edf8287f0f23bf64,241,98,16,127
Posterngate Surgery - Hemingbrough Branch Surgery,http://www.posterngate.co.uk,WCAG2AAA,YO8 6QF,5d290b73edf8287f0f23bf65,303,33,136,134
Cleveland Surgery,http://www.clevelandsurgery.nhs.uk,WCAG2AAA,DN21 2UQ,5d290b73edf8287f0f23bf66,73,19,14,40
The Snaith And Rawcliffe Medical Group- The Marshes,http://www.snaithrawcliffemedicalgroup.com,WCAG2AAA,DN14 9DY,5d290b73edf8287f0f23bf67,391,50,110,231
Hatfield Health Centre,http://www.hatfieldhealthcentre.co.uk,WCAG2AAA,DN7 6JH,5d290b73edf8287f0f23bf68,373,18,125,230
Field Road Surgery,http://www.fieldroadsurgery.nhs.uk,WCAG2AAA,DN7 5AF,5d290b73edf8287f0f23bf69,169,38,61,70
Willingham-By-Stow Surgery,http://www.willinghamsurgery.co.uk,WCAG2AAA,DN21 5JZ,5d290b73edf8287f0f23bf6a,699,12,544,143
Dunsville Medical Centre,http://dunsvillemedicalcentre.nhs.uk/,WCAG2AAA,DN7 4BY,5d290b73edf8287f0f23bf6b,362,158,17,187
Elvington Medical Practice (Wheldrake),http://www.elvingtonmedicalpractice.co.uk,WCAG2AAA,YO19 6AB,5d290b73edf8287f0f23bf6c,209,26,53,130
Elvington Medical Practice,http://www.elvingtonmedicalpractice.co.uk,WCAG2AAA,YO41 4DY,5d290b73edf8287f0f23bf6d,209,26,53,130
The Mayflower Medical Practice (Finningley Branch),http://www.mayflowermedicalpractice.nhs.uk,WCAG2AAA,DN9 3BN,5d290b73edf8287f0f23bf6e,150,12,67,71
Auckley Surgery,https://www.thevillagegrouppractice.co.uk,WCAG2AAA,DN9 3HY,5d290b73edf8287f0f23bf6f,375,72,56,247
Gringley Surgery,http://www.mistertongrouppractice.nhs.uk/,WCAG2AAA,DN10 4QU,5d290b73edf8287f0f23bf70,220,45,32,143
Marton Branch Surgery ,http://www.willinghamsurgery.co.uk,WCAG2AAA,DN21 5XX,5d290b73edf8287f0f23bf71,701,12,544,145
Escrick Surgery,http://www.escricksurgeryyork.co.uk,WCAG2AAA,YO19 6LE,5d290b73edf8287f0f23bf72,148,21,60,67
The James Street Family Practice,http://www.jamesstreetsurgery.co.uk/,WCAG2AAA,LN11 0JN,5d290b73edf8287f0f23bf73,201,26,62,113
MyHealth Stamford Bridge Health Care Centre,http://myhealthgroup.co.uk,WCAG2AAA,YO41 1BR,5d290b73edf8287f0f23bf74,283,36,101,146
Newmarket Branch,http://www.newmarketmedicalpractice.co.uk,WCAG2AAA,LN11 9EH,5d290b73edf8287f0f23bf75
Elvington Medical Practice (Dunnington),http://www.elvingtonmedicalpractice.co.uk,WCAG2AAA,YO19 5PN,5d290b73edf8287f0f23bf76,209,26,53,130
Dunnington Surgery,http://myhealthgroup.co.uk,WCAG2AAA,YO19 5NQ,5d290b73edf8287f0f23bf77,289,41,102,146
Marsh Medical Practice,http://www.marshmedicalpractice.com,WCAG2AAA,LN11 7QU,5d290b73edf8287f0f23bf78,149,28,42,79
The Mayflower Medical Practice,http://www.mayflowermedicalpractice.nhs.uk,WCAG2AAA,DN10 6RQ,5d290b73edf8287f0f23bf79,150,12,67,71
Bawtry And Blyth Medical,http://www.bawtryandblythmedical.co.uk,WCAG2AAA,DN10 6RQ,5d290b73edf8287f0f23bf7a,212,13,80,119
Unity Health,http://www.wellingtonhouse.nhs.uk,WCAG2AAA,5d290b73edf8287f0f23bf7b
Tang Hall Lane Surgery,http://www.priorymedical.com,WCAG2AAA,YO10 3RL,5d290b73edf8287f0f23bf7c,285,57,87,141
"Haxby Group Practice, Stockton on the Forest Surgery",http://haxbygroup.co.uk,WCAG2AAA,YO32 9UQ,5d290b73edf8287f0f23bf7d,221,14,115,92
My Health Group,http://myhealthgroup.co.uk,WCAG2AAA,YO32 5UA,5d290b73edf8287f0f23bf7e,289,41,102,146
Stretham Surgery,"http://www.haddenhamsurgery.nhs.uk/welcome,46452.htm",WCAG2AAA,CB6 3JG,5d290b73edf8287f0f23bf7f,150,39,44,67
Staploe Medical Centre,http://www.staploe.com,WCAG2AAA,CB7 5JD,5d290b73edf8287f0f23bf80,205,55,29,121
Cathedral Medical Centre,http://www.cathedralmedicalcentre.com/,WCAG2AAA,CB6 1DN,5d290b73edf8287f0f23bf81,216,57,30,129
Burwell Surgery,http://www.theburwellsurgery.co.uk,WCAG2AAA,CB25 0AE,5d290b73edf8287f0f23bf82,248,25,83,140
St George's Medical Centre,http://www.stgeorgesmedicalcentremoston.nhs.uk,WCAG2AAA,M40 5HP,5d290b73edf8287f0f23bf83,180,10,48,122
Bottisham Medical Practice,http://www.bottishammedicalpractice.nhs.uk,WCAG2AAA,CB25 9DU,5d290b73edf8287f0f23bf84,333,8,176,149
Dr T R S Bailey & Partners,http://www.orchardhousesurgery.co.uk/,WCAG2AAA,CB8 8NU,5d290b73edf8287f0f23bf85,227,14,52,161
The Rookery Medical Centre,http://www.rookerymedicalcentre.co.uk/,WCAG2AAA,CB8 8NW,5d290b73edf8287f0f23bf86,220,61,26,133
Oakfield Surgery,http://www.oakfield-surgery.co.uk,WCAG2AAA,SE20 8QA,5d290b73edf8287f0f23bf87
Market Cross Surgery,http://www.marketcrosssurgery.co.uk,WCAG2AAA,NG33 4BB,5d290b73edf8287f0f23bf88,238,11,90,137
The White House Surgery,http://www.whitehousesurgery.nhs.uk/,WCAG2AAA,S2 1SL,5d290b73edf8287f0f23bf89,194,51,31,112
Fulbourn Health Centre,http://www.cornfordhouse.org,WCAG2AAA,CB21 5HD,5d290b73edf8287f0f23bf8a,244,9,97,138
Feltwell Surgery,http://www.feltwellsurgery.co.uk/,WCAG2AAA,IP26 4AY,5d290b73edf8287f0f23bf8b,113,28,13,72
Drs Teo And Partners,http://www.merchefordhouse.nhs.uk/,WCAG2AAA,PE15 9BY,5d290b73edf8287f0f23bf8c,227,61,49,117
Riverside Practice,http://www.riversidepractice.com,WCAG2AAA,PE15 8BG,5d290b73edf8287f0f23bf8d,267,38,114,115
Barrow Surgery,https://www.theguildhallsurgery.co.uk,WCAG2AAA,IP29 5DX,5d290b73edf8287f0f23bf8e
Forest Surgery,http://www.bordondoctors.com,WCAG2AAA,GU35 0BP,5d290b73edf8287f0f23bf8f,218,20,57,141
Brandon Medical Practice,http://www.brandonmedicalpractice.org.uk/,WCAG2AAA,IP27 0AQ,5d290b73edf8287f0f23bf90,221,57,30,134
Upwell Health Centre,http://www.upwellhealthcentre.nhs.uk,WCAG2AAA,PE14 9BT,5d290b73edf8287f0f23bf91,173,17,63,93
Howdale Surgery,http://www.howdalesurgery.co.uk,WCAG2AAA,PE38 9AF,5d290b73edf8287f0f23bf92,224,7,92,125
Boughton Surgery,https://www.boughtonsurgery-norfolk.nhs.uk/,WCAG2AAA,PE33 9AG,5d290b73edf8287f0f23bf93,330,69,66,195
Forest Group Practice - Mundford Branch,http://www.swansurgery.org.uk/forest_group_practice,WCAG2AAA,IP26 5DW,5d290b73edf8287f0f23bf94,2,2,0,0
Victoria Surgery,http://www.victoriasurgery.co.uk,WCAG2AAA,IP33 3BB,5d290b73edf8287f0f23bf95,230,50,46,134
Haverhill Family Practice,http://www.haverhillfamilypractice.co.uk/,WCAG2AAA,CB9 8HF,5d290b73edf8287f0f23bf96,695,173,391,131
Clements And Christmas Maltings Surgery,http://christmasandclements.co.uk/,WCAG2AAA,CB9 8HF,5d290b73edf8287f0f23bf97,403,25,240,138
The Guildhall and Barrow Surgery,http://www.theguildhallsurgery.co.uk,WCAG2AAA,IP33 1ET,5d290b73edf8287f0f23bf98,192,42,64,86
Swan Surgery,http://www.swansurgery.org.uk/,WCAG2AAA,IP33 1AE,5d290b73edf8287f0f23bf99,364,64,74,226
Angel Hill Surgery,http://www.angelhillsurgery.co.uk,WCAG2AAA,IP33 1LU,5d290b73edf8287f0f23bf9a,183,27,44,112
Kedington Surgery,http://www.christmasandclements.co.uk/,WCAG2AAA,CB9 7NG,5d290b73edf8287f0f23bf9b,403,25,240,138
Clements Surgery,http://www.christmasandclements.co.uk/index.aspx,WCAG2AAA,CB9 8LU,5d290b73edf8287f0f23bf9c,403,25,240,138
School Lane Surgery,http://www.stockbridgesurgery.co.uk,WCAG2AAA,SO20 8BZ,5d290b73edf8287f0f23bf9d,347,95,115,137
Jenner Health Centre,http://www.jennerpractice.co.uk/,WCAG2AAA,SE23 1HU,5d290b73edf8287f0f23bf9e,153,43,19,91
Mount Farm Surgery,http://www.mountfarm.com,WCAG2AAA,IP32 7EW,5d290b73edf8287f0f23bf9f,217,26,23,168
Trinity Surgery,http://www.trinity-surgery.co.uk/,WCAG2AAA,PE13 3UZ,5d290b73edf8287f0f23bfa0,246,22,88,136
North Brink Practice,http://www.northbrink.com,WCAG2AAA,PE13 1JU,5d290b73edf8287f0f23bfa1,49,13,4,32
Watlington Medical Centre,http://www.watlingtonmedicalcentre.co.uk/,WCAG2AAA,PE33 0TU,5d290b73edf8287f0f23bfa2,169,4,49,116
Crocus Medical Practice,http://www.crocusmedicalpractice.nhs.uk/,WCAG2AAA,CB10 1BP,5d290b73edf8287f0f23bfa3,332,10,206,116
Steeple Bumpstead Surgery,http://www.steeplebumpsteadsurgery.co.uk/,WCAG2AAA,CB9 7ED,5d290b73edf8287f0f23bfa4,459,32,151,276
The Gold Street Surgery,http://www.thegoldstreetsurgery.co.uk,WCAG2AAA,CB10 1EJ,5d290b73edf8287f0f23bfa5,487,60,127,300
Marham Surgery,http://www.howdalesurgery.co.uk,WCAG2AAA,PE33 9HP,5d290b73edf8287f0f23bfa6,224,7,92,125
Clare Guildhall Surgery,http://www.guildhallsurgery.co.uk,WCAG2AAA,CO10 8NY,5d290b73edf8287f0f23bfa7,172,9,46,117
St Johns Surgery,https://tsj.org.uk/,WCAG2AAA,PE14 7RR,5d290b73edf8287f0f23bfa8,120,26,11,83
Thorney Medical Practice,http://www.thorneymedicalpractice.co.uk,WCAG2AAA,PE6 0SD,5d290b73edf8287f0f23bfa9,3,1,0,2
Dr Lockyer And Partners,http://www.ixworthsurgery.co.uk,WCAG2AAA,IP31 2HD,5d290b73edf8287f0f23bfaa,322,12,149,161
Glemsford Surgery,http://www.glemsfordsurgery.co.uk,WCAG2AAA,CO10 7RF,5d290b73edf8287f0f23bfab,245,26,89,130
Stanground Surgery,http://stangroundsurgery.co.uk,WCAG2AAA,PE2 8RB,5d290b73edf8287f0f23bfac,33,11,11,11
Eye Surgery,http://www.thorneymedicalpractice.co.uk,WCAG2AAA,PE6 7UX,5d290b73edf8287f0f23bfad,3,1,0,2
Welland Medical Practice,http://www.wellandmedicalpractice.co.uk,WCAG2AAA,PE1 4SG,5d290b73edf8287f0f23bfae,478,56,162,260
Westgate,http://www.westgatesurgery.co.uk,WCAG2AAA,PE1 1NW,5d290b73edf8287f0f23bfaf,337,14,151,172
3Well Ltd - Botolph Bridge,http://botolph.org,WCAG2AAA,PE2 9QB,5d290b73edf8287f0f23bfb0,183,45,40,98
Narborough Surgery,http://www.swaffham-doctors.co.uk,WCAG2AAA,PE32 1TE,5d290b73edf8287f0f23bfb1,222,46,70,106
Boroughbury Medical Centre,http://www.boroughburymedicalcentre.co.uk/,WCAG2AAA,PE1 2EJ,5d290b73edf8287f0f23bfb2,324,73,92,159
Burghley Road Surgery,http://www.nhs.uk/pages/home.aspx,WCAG2AAA,PE1 2QE,5d290b73edf8287f0f23bfb3,137,44,19,74
Thomas Walker,http://www.thomaswalkersurgery.nhs.uk/,WCAG2AAA,5d290b73edf8287f0f23bfb4
Dr Robert Bailey,http://www.minstermedicalpeterborough.nhs.uk/,WCAG2AAA,PE1 2QP,5d290b73edf8287f0f23bfb5
Nene Valley Medical Practice,http://www.nenevalleysurgery.org.uk,WCAG2AAA,PE2 5GP,5d290b73edf8287f0f23bfb6,265,17,106,142
Dogsthorpe Medical Centre,http://www.nhs.uk/pages/home.aspx,WCAG2AAA,PE1 4QF,5d290b73edf8287f0f23bfb7,137,44,19,74
Thorpe Road Surgery,http://www.thorperoadsurgery.nhs.uk,WCAG2AAA,PE3 6AP,5d290b73edf8287f0f23bfb8,192,53,23,116
The Campingland Surgery,http://www.campinglandsurgery.co.uk/,WCAG2AAA,PE37 7RD,5d290b73edf8287f0f23bfb9,214,6,72,136
Manor Farm Medical Centre,http://www.swaffham-doctors.co.uk,WCAG2AAA,PE37 7QN,5d290b73edf8287f0f23bfba,222,46,70,106
Plowright Medical Centre,http://www.plowrightmedicalcentre.co.uk/,WCAG2AAA,PE37 7HJ,5d290b73edf8287f0f23bfbb,105,22,22,61
Thistlemoor Medical Centre,http://www.thistlemoor.co.uk,WCAG2AAA,PE1 3HP,5d290b73edf8287f0f23bfbc,121,36,29,56
The Long Melford Practice,http://www.longmelfordpractice.org.uk,WCAG2AAA,CO10 9EP,5d290b73edf8287f0f23bfbd,2,1,0,1
Paston Health Centre,http://www.pastonhealthcentre.nhs.uk,WCAG2AAA,PE4 7DG,5d290b73edf8287f0f23bfbe,324,116,70,138
Westwood Clinic,http://www.westwoodclinic.co.uk,WCAG2AAA,PE3 7JW,5d290b73edf8287f0f23bfbf,198,55,29,114
Watton Medical Practice,http://www.wattonmedicalpractice.co.uk,WCAG2AAA,IP25 6FA,5d290b73edf8287f0f23bfc0,227,50,45,132
Bretton Medical Practice,http://www.brettonmedicalpractice.co.uk/,WCAG2AAA,5d290b73edf8287f0f23bfc1
Abbeyview Surgery,http://www.abbeyviewsurgery.nhs.uk,WCAG2AAA,PE6 0AL,5d290b73edf8287f0f23bfc2,150,53,18,79
The Thomas Walker Surgery,http://www.thomaswalkersurgery.nhs.uk/,WCAG2AAA,5d290b73edf8287f0f23bfc3
Newborough Primary Care Centre,http://www.ailsworthsurgery.co.uk/,WCAG2AAA,PE6 7QW,5d290b73edf8287f0f23bfc4,454,20,300,134
The Long Melford Practice (Lavenham),http://www.longmelfordpractice.org.uk,WCAG2AAA,CO10 9SA,5d290b73edf8287f0f23bfc5,2,1,0,1
Plowright Surgery,http://www.plowrightmedicalcentre.co.uk/,WCAG2AAA,PE37 8EF,5d290b73edf8287f0f23bfc6,105,22,22,61
Oak Farm Surgery,http://www.swaffham-doctors.co.uk/,WCAG2AAA,PE37 8EF,5d290b73edf8287f0f23bfc7,222,46,70,106
Hardwicke House Group Practice,http://www.hardwickehousesurgery.co.uk,WCAG2AAA,CO10 2AY,5d290b73edf8287f0f23bfc8,142,38,20,84
Sutterton Surgery,http://www.suttertonsurgery.nhs.uk/contact.aspx,WCAG2AAA,PE20 2ET,5d290b73edf8287f0f23bfc9,4,3,0,1
Gosberton Medical Centre,http://www.gosbertonmedicalcentre.co.uk,WCAG2AAA,PE11 4NL,5d290b73edf8287f0f23bfca,688,84,306,298
Swineshead Surgery,http://www.swinesheadmedicalgroup.co.uk/,WCAG2AAA,PE20 3JE,5d290b73edf8287f0f23bfcb,357,21,105,231
Liquorpond Surgery,http://www.liquorpond-surgery.org.uk,WCAG2AAA,PE21 8UE,5d290b73edf8287f0f23bfcc,240,59,66,115
The Sidings medical practice,https://www.thesidingsmedicalpractice.co.uk,WCAG2AAA,PE21 8EG,5d290b73edf8287f0f23bfcd,347,24,99,224
Greyfriars Surgery,http://www.greyfriars-surgery.com,WCAG2AAA,HR4 0BH,5d290b73edf8287f0f23bfce,4,2,0,2
Dr Wheatley and Partner,http://www.munromedicalcentre.co.uk,WCAG2AAA,PE11 3RD,5d290b73edf8287f0f23bfcf,219,41,37,141
"Drs Thorpe, Burgess, Jones & Stone",http://www.moultonmedicalcentre.nhs.uk,WCAG2AAA,PE12 6QB,5d290b73edf8287f0f23bfd0,187,12,50,125
Munro Medical Centre,http://www.munromedicalcentre.co.uk,WCAG2AAA,PE11 2BY,5d290b73edf8287f0f23bfd1,219,41,37,141
Littlebury Medical Centre,http://www.littleburymedicalcentre.co.uk,WCAG2AAA,PE12 7DE,5d290b73edf8287f0f23bfd2,231,20,90,121
Beechfield Medical Centre,http://www.beechfieldmc.co.uk,WCAG2AAA,PE11 1UN,5d290b73edf8287f0f23bfd3,214,13,65,136
The New Springwells Practice,http://www.ruralmedical.co.uk,WCAG2AAA,NG34 0QQ,5d290b73edf8287f0f23bfd4,234,12,85,137
Millview Medical Centre,http://www.millviewmedicalcentre.co.uk,WCAG2AAA,NG34 9QP,5d290b73edf8287f0f23bfd5,821,283,87,451
Long Sutton Medical Centre,http://www.suttonsmedicalgroup.co.uk,WCAG2AAA,PE12 9HB,5d290b73edf8287f0f23bfd6,399,27,103,269
Old Leake Medical Centre,http://www.oldleakemed.co.uk,WCAG2AAA,PE22 9LE,5d290b73edf8287f0f23bfd7,407,173,29,205
Stickney Surgery,http://www.stickneysurgery.co.uk,WCAG2AAA,PE22 8AA,5d290b73edf8287f0f23bfd8,381,165,25,191
Sutton Bridge Medical Centre,http://www.suttonsmedicalgroup.co.uk,WCAG2AAA,PE12 9LP,5d290b73edf8287f0f23bfd9,415,27,103,285
Billinghay Medical Practice,http://www.billinghaymedicalpractice.co.uk,WCAG2AAA,LN4 4AU,5d290b73edf8287f0f23bfda,1247,528,99,620
Sleaford Medical Group,http://www.sleafordmedicalgroup.co.uk,WCAG2AAA,NG34 7HD,5d290b73edf8287f0f23bfdb,218,49,67,102
Bourne Galletly Practice Team,http://www.galletly.co.uk,WCAG2AAA,PE10 9BT,5d290b73edf8287f0f23bfdc,330,99,56,175
Millview Medical Centre Sleaford,http://www.millviewmedicalcentre.co.uk,WCAG2AAA,NG34 7TQ,5d290b73edf8287f0f23bfdd,821,283,87,451
"Lakeside Healthcare at Bourne, Hereward Practice",http://www.herewardgp.co.uk,WCAG2AAA,PE10 9XR,5d290b73edf8287f0f23bfde
The Deepings Practice,http://www.deepingspractice.co.uk,WCAG2AAA,PE6 8DD,5d290b73edf8287f0f23bfdf,224,16,76,132
Tasburgh Lodge Surgery,http://www.tasburghlodge.co.uk,WCAG2AAA,LN10 6TX,5d290b73edf8287f0f23bfe0,174,40,21,113
Woodhall Spa New Surgery,http://www.woodhallspanewsurgery.co.uk,WCAG2AAA,LN10 6SQ,5d290b73edf8287f0f23bfe1,136,40,33,63
Glenside Country Practice - Corby Glen,https://www.glensidecountrypractice.com,WCAG2AAA,NG33 4LY,5d290b73edf8287f0f23bfe2,278,19,123,136
Caythorpe & Ancaster Medical Practice,http://www.villagedoctor.co.uk,WCAG2AAA,NG32 3PP,5d290b73edf8287f0f23bfe3,311,17,113,181
Spilsby Surgery,http://www.spilsbysurgery.co.uk,WCAG2AAA,PE23 5LG,5d290b73edf8287f0f23bfe4,161,21,52,88
The Glinton Surgery,http://www.deepingspractice.co.uk,WCAG2AAA,PE6 7JN,5d290b73edf8287f0f23bfe5,226,16,76,134
Dr Andrew Buffey,http://www.churchwalkmetheringham.co.uk,WCAG2AAA,LN4 3EZ,5d290b73edf8287f0f23bfe6,188,56,27,105
Horncastle Medical Group,http://www.horncastlemedicalgroup.co.uk,WCAG2AAA,LN9 6AL,5d290b73edf8287f0f23bfe7,200,10,67,123
The Glenside Country Practice,https://www.glensidecountrypractice.com,WCAG2AAA,NG33 4RZ,5d290b73edf8287f0f23bfe8,278,19,123,136
"Dr Saeed and Partners, Hawthorn Medical Practice, Burgh branch surgery",http://www.hawthornmedicalpractice.co.uk,WCAG2AAA,PE24 5ED,5d290b73edf8287f0f23bfe9,411,189,22,200
St James Medical Practice,http://www.stjamesmp.co.uk/,WCAG2AAA,PE30 5SY,5d290b73edf8287f0f23bfea,193,36,29,128
Bardney Surgery,http://www.woodhallspanewsurgery.co.uk,WCAG2AAA,LN3 5SU,5d290b73edf8287f0f23bfeb,136,40,33,63
Southgates Medical and Surgical Centre,http://www.southgates.org.uk,WCAG2AAA,PE30 5QX,5d290b73edf8287f0f23bfec,222,51,42,129
The Woottons Surgery,http://www.woottonsurgery.co.uk/,WCAG2AAA,PE30 3PT,5d290b73edf8287f0f23bfed
St.John's Medical Centre,http://www.stjohnsmedical.co.uk,WCAG2AAA,NG31 6HR,5d290b73edf8287f0f23bfee,197,16,59,122
St Peters Hill Surgery,http://www.stpetershillsurgery.co.uk,WCAG2AAA,NG31 6QA,5d290b73edf8287f0f23bfef,231,26,66,139
Caythorpe Surgery,http://www.villagedoctor.co.uk,WCAG2AAA,NG32 3DN,5d290b73edf8287f0f23bff0,311,17,113,181
Gayton Road Health And Surgical Centre,http://www.vidahealthcare.nhs.uk,WCAG2AAA,PE30 4DY,5d290b73edf8287f0f23bff1,195,21,55,119
Hawthorn Medical Practice,http://www.hawthornmedicalpractice.co.uk,WCAG2AAA,PE25 3TD,5d290b73edf8287f0f23bff2,411,189,22,200
St.Mary's Medical Centre,http://www.stmarysmedicalcentre.org.uk,WCAG2AAA,PE9 2DH,5d290b73edf8287f0f23bff3,297,60,64,173
Heacham Group Practice,http://www.heachamgrouppractice.org,WCAG2AAA,PE31 7EX,5d290b73edf8287f0f23bff4,191,53,24,114
Fairstead Surgery,http://www.vidahealthcare.nhs.uk/,WCAG2AAA,PE30 4SR,5d290b73edf8287f0f23bff5,195,21,55,119
Snettisham Surgery,http://www.heachamgrouppractice.org,WCAG2AAA,PE31 7PE,5d290b73edf8287f0f23bff6,191,53,24,114
Hunstanton Surgery,http://www.vidahealthcare.nhs.uk/,WCAG2AAA,PE36 5DN,5d290b73edf8287f0f23bff7,195,21,55,119
Swingbridge Surgery,http://www.swingbridgesurgery.co.uk,WCAG2AAA,NG31 7XT,5d290b73edf8287f0f23bff8,202,6,75,121
The Wolds Branch,http://www.thewoldspractice.gpsurgery.net/,WCAG2AAA,LN9 6QP,5d290b73edf8287f0f23bff9,1,0,0,1
Beacon Medical Practice - Skegness,http://www.beaconmedicalpractice.com,WCAG2AAA,PE25 2RN,5d290b73edf8287f0f23bffa,466,172,89,205
Ailsworth Medical Centre,http://www.ailsworthsurgery.co.uk,WCAG2AAA,PE5 7AF,5d290b73edf8287f0f23bffb,454,20,300,134
Vida Healthcare,http://www.vidahealthcare.nhs.uk,WCAG2AAA,PE31 6GZ,5d290b73edf8287f0f23bffc,195,21,55,119
Branston & Heighington Family Practice,http://www.branstonsurgery.co.uk,WCAG2AAA,LN4 1LH,5d290b73edf8287f0f23bffd,298,25,112,161
Wansford & Kings Cliffe Practice,http://www.wansfordsurgery.co.uk,WCAG2AAA,PE8 6PL,5d290b73edf8287f0f23bffe,352,76,42,234
Beacon Medical Practice - Ingoldmells,http://www.beaconmedicalpractice.com,WCAG2AAA,PE25 1JL,5d290b73edf8287f0f23bfff,467,173,89,205
Empingham Medical Centre,http://www.empinghammedicalcentre.co.uk/,WCAG2AAA,LE15 8PR,5d290b73edf8287f0f23c000,218,41,44,133
Merton Lodge Surgery,http://www.alforddocs.co.uk,WCAG2AAA,LN13 9HT,5d290b73edf8287f0f23c001,236,59,73,104
Washingborough Surgery,http://www.washingboroughfamilypractice.nhs.uk/,WCAG2AAA,LN4 1BN,5d290b73edf8287f0f23c002,329,34,155,140
"The Heath Surg, London Rd",http://www.southparkandheathsurgery.co.uk,WCAG2AAA,LN4 2LA,5d290b73edf8287f0f23c003,266,8,138,120
