name,url,standard,address,task,result(total),result(error),result(warning),result(notice)
Blyth Road Medical Centre,http://www.blythroadmedicalcentre.co.uk,WCAG2AA,S66 8JD
Haxby Group Practice ,http://haxbygroup.co.uk/,WCAG2AA,YO32 2LL,5d06a9b2e0673f62602f554a,218,14,112,92
Ravenfield Medical Centre,http://www.morthenroadsurgery.co.uk,WCAG2AA,S65 4PU
Dinnington Group Practice,http://www.dinningtongrouppractice.co.uk/,WCAG2AA,S81 8RJ
Kiveton Park Medical Practice,http://www.kivetonparkmedicalpractice.co.uk,WCAG2AA,S26 6QU,5d06a9b2e0673f62602f5549,230,14,73,143
Greens Norton Medical Centre ,http://www.gnwmp.co.uk,WCAG2AA,NN12 8BL
Dr Arif Supple,http://www.brookhealthcentre.co.uk,WCAG2AA,NN12 6HD
Towcester Medical Centre,http://www.towcestermedicalcentre.co.uk,WCAG2AA,NN12 6HH
Bilton Green Surgery,http://www.centralsurgeryrugby.co.uk/,WCAG2AA,CV22 7LY,5d06a9b2e0673f62602f555a,202,11,66,125
Wolston Surgery,http://www.wolstonsurgery.co.uk/,WCAG2AA,CV8 3HG,5d06a9b2e0673f62602f5559,216,11,84,121
The Swan Practice,http://www.theswanpractice.co.uk,WCAG2AA,MK18 1NU,5d06a9b2e0673f62602f5558,218,10,77,131
Verney Close Practice,http://www.theswanpractice.co.uk/,WCAG2AA,MK18 1JP,5d06a9b2e0673f62602f5557,218,10,77,131
Kenyon Medical Centres,http://www.kenyonmedicalcentres.gpsurgery.net,WCAG2AA,CV3 2JF,5d06a9b2e0673f62602f5556,434,203,23,208
Sky Blue Medical Group,http://www.skybluemedicalgroup.co.uk,WCAG2AA,CV3 6EA,5d06a9b2e0673f62602f5555,399,31,124,244
Willenhall Primary Care Centre - 1,http://willenhallprimarycarecentre.nhs.uk/,WCAG2AA,CV3 3DG,5d06a9b2e0673f62602f5554,218,35,45,138
Bugbrooke Medical Practice,http://www.bugbrookemedicalpractice.co.uk,WCAG2AA,NN7 3QN,5d06a9b2e0673f62602f5553,333,25,99,209
Willenhall Oak Medical Centre,http://www.willenhalloak.nhs.uk,WCAG2AA,CV3 3DP,5d06a9b2e0673f62602f5552,249,63,47,139
Phoenix Family Care,http://www.phoenixfamilycare.nhs.uk,WCAG2AA,CV3 6GQ,5d06a9b2e0673f62602f5551,235,37,54,144
Cheylesmore Surgery,http://www.cheylesmoresurgery.nhs.uk/,WCAG2AA,CV3 5PZ,5d06a9b2e0673f62602f5550,203,61,30,112
Dr Rashpal Dosanj,https://www.quintonparkmc.nhs.uk/,WCAG2AA,CV3 5PZ,5d06a9b2e0673f62602f554f,239,61,42,136
University of Warwick (Blue Practice),http://www.broomfieldparkmedicalcentre.co.uk/,WCAG2AA,CV4 7AL,5d06a9b2e0673f62602f554e,242,74,36,132
University of Warwick Health Centre (Pink Practice),http://www.allesleyparkmedicalcentre.co.uk/,WCAG2AA,CV4 7AL,5d06a9b2e0673f62602f556c,268,61,60,147
Westside Medical Centre,http://drgallagherandpartners.org.uk/,WCAG2AA,CV21 2DN,5d06a9b2e0673f62602f556b,4,2,0,2
Bennfield Surgery,http://www.bennfieldsurgery.co.uk/,WCAG2AA,CV21 2DN,5d06a9b2e0673f62602f556a,169,59,29,81
Whitehall Medical Practice,http://www.whitehallmed.co.uk,WCAG2AA,CV21 3AQ,5d06a9b2e0673f62602f5569,814,283,86,445
Clifton Road Surgery,http://www.cliftonroadsurgery.co.uk/,WCAG2AA,CV21 3QF,5d06a9b2e0673f62602f5568,231,24,78,129
Bredon Avenue Surgery,http://www.bredonavenue.nhs.uk/,WCAG2AA,CV3 2FD,5d06a9b2e0673f62602f5567,241,72,37,132
Dr Kukreja (Mayors Croft),http://westwoodmedicalcentre.nhs.uk,WCAG2AA,CV4 8FF,5d06a9b2e0673f62602f5566,236,50,41,145
Forrest Medical Centre,http://www.fmcgp.co.uk,WCAG2AA,CV4 8FT,5d06a9b2e0673f62602f5584,338,54,119,165
Malling Health At Stoke Aldermoor,http://www.mhstokealdermoor.co.uk/,WCAG2AA,CV3 1BN,5d06a9b2e0673f62602f5583,200,44,42,114
Beech Tree Medical Practice,http://beechtree.warwickshire.nhs.uk/,WCAG2AA,CV21 3HX,5d06a9b2e0673f62602f5582,170,51,35,84
Steeple Claydon Surgery,http://www.theswanpractice.co.uk,WCAG2AA,MK18 2PR,5d06a9b2e0673f62602f5581,218,10,77,131
Jubilee Healthcare (Station Av.),http://www.jubileehealthcarecoventry.nhs.uk/,WCAG2AA,CV4 9HS,5d06a9b2e0673f62602f5580,43,10,9,24
Balsall Common & Meriden Group Practice,http://www.balsallcommongrouppractice.co.uk,WCAG2AA,CV7 7RW,5d06a9b2e0673f62602f557f,314,85,99,130
Brownsover Medical Centre,https://www.brownsovermedicalcentre.nhs.uk/,WCAG2AA,CV21 1JF,5d06a9b2e0673f62602f557e,568,237,25,306
Dorridge Surgery,http://www.dorridgesurgery.co.uk/,WCAG2AA,B93 8LH,5d06a9b2e0673f62602f557d,378,46,78,254
GPS Healthcare - Knowle Surgery,http://www.gpshealthcare.co.uk,WCAG2AA,B93 9LE,5d06a9b2e0673f62602f557c,199,13,54,132
MONKSPATH SURGERY,http://www.monkspathsurgery.co.uk/,WCAG2AA,B90 4EH,5d06a9b2e0673f62602f557b,403,30,112,261
GPS Healthcare - Village Surgery,http://www.gpshealthcare.co.uk,WCAG2AA,B90 4JA,5d06a9b2e0673f62602f557a,199,13,54,132
Dickens Heath Medical Centre,http://www.jaceypractice.co.uk/,WCAG2AA,B90 1SD,5d06a9b2e0673f62602f5579,226,30,40,156
GPS Healthcare - Tanworth Lane,http://www.gpshealthcare.co.uk/,WCAG2AA,B90 4DD,5d06a9b2e0673f62602f5578,199,13,54,132
Hollyoaks Medical Centre,http://www.hollyoaksmedicalcentre.nhs.uk/,WCAG2AA,B47 6ET,5d06a9b2e0673f62602f5577,118,56,14,48
Hollywood Medical Practice,http://www.hollywoodmedicalpractice.co.uk,WCAG2AA,B47 5DP,5d06a9b2e0673f62602f5576,219,6,96,117
Long Crendon Surgery,http://www.trinity-health.co.uk,WCAG2AA,5d06a9b2e0673f62602f5575
Barnt Green Surgery,http://www.barntgreen.gpsurgery.net,WCAG2AA,B45 8NF,5d06a9b2e0673f62602f5574,377,158,35,184
West Heath Primary C Ctr,http://www.westheathprimarycarecentre.nhs.uk/,WCAG2AA,B38 8AX,5d06a9b2e0673f62602f5573,108,47,15,46
Cofton Medical Centre,http://www.coftonmedicalcentre.nhs.uk,WCAG2AA,B31 4TU,5d06a9b2e0673f62602f5572,1264,504,84,676
West Heath Surgery,http://westheath.myhealthcare.co.uk/,WCAG2AA,B31 3HB,5d06a9b2e0673f62602f5571,209,81,41,87
The Rycote Practice,http://www.therycotepractice.co.uk/,WCAG2AA,OX9 3JZ,5d06a9b2e0673f62602f5598,325,13,151,161
Thame Health Centre,http://www.trinity-health.co.uk,WCAG2AA,5d06a9b2e0673f62602f5597
Haddenham Medical Centre,http://www.haddenham.org,WCAG2AA,HP17 8JX,5d06a9b2e0673f62602f5596,126,39,25,62
Leach Heath Medical Centre,https://lhmc.gpsurgery.net/,WCAG2AA,B45 9BU,5d06a9b2e0673f62602f5595,374,168,18,188
New Road Surgery,http://www.newroadsurgeryrubery.nhs.uk,WCAG2AA,B45 9HY,5d06a9b2e0673f62602f5594,279,22,120,137
Cornhill Surgery,http://www.cornhillsurgery.com,WCAG2AA,B45 9JT,5d06a9b2e0673f62602f5593,227,15,82,130
Dr Lm Wright And Partners,http://www.lyddensurgery.co.uk/,WCAG2AA,CT15 7ET,5d06a9b2e0673f62602f5592,521,54,52,415
Hawkinge And Elham,http://www.elhamsurgery.co.uk,WCAG2AA,CT18 7BP,5d06a9b2e0673f62602f5591,234,65,23,146
White Cliffs Medical Centre,http://www.whitecliffsmedicalcentre.com/,WCAG2AA,CT17 9SG,5d06a9b2e0673f62602f5590,185,18,53,114
The New Surgery,http://www.elmdenesurgery.nhs.uk,WCAG2AA,DA2 8BG,5d06a9b2e0673f62602f558f,136,37,33,66
Pencester Health,http://www.pencestersurgery.nhs.uk/,WCAG2AA,CT16 1RH,5d06a9b2e0673f62602f55aa,226,14,78,134
Pencester Surgery,http://www.pencestersurgery.nhs.uk/,WCAG2AA,CT16 1BW,5d06a9b2e0673f62602f55a9,226,14,78,134
Guildhall Street Surgery,http://www.guildhallsurgery.nhs.uk/,WCAG2AA,CT20 1EJ,5d06a9b2e0673f62602f55a8,173,50,26,97
St James' Surgery,http://www.st-james-surgery.co.uk,WCAG2AA,CT16 1SF,5d06a9b2e0673f62602f55a7,242,24,102,116
Sandgate Road Surgery,http://www.sandgateroadsurgery.nhs.uk,WCAG2AA,CT20 2HN,5d06a9b2e0673f62602f55a6,161,19,59,83
Elham Surgery,http://www.elhamsurgery.co.uk,WCAG2AA,CT4 6UH,5d06a9b2e0673f62602f55a5,234,65,23,146
Aylesham Medical Practice,https://www.ayleshammedicalpractice.co.uk,WCAG2AA,CT3 3BB,5d06a9b2e0673f62602f55b8,270,77,69,124
Oaklands Health Centre,http://www.oaklandshealthcentre.com,WCAG2AA,CT21 6BD,5d06a9b2e0673f62602f55b7
Eastry Surgery,http://www.marketplacesurgery.co.uk,WCAG2AA,CT13 0HE,5d06a9b2e0673f62602f55b6,217,20,63,134
St Richards Road Surgery,http://www.strichardsroadsurgery.nhs.uk,WCAG2AA,CT14 9LF,5d06a9b2e0673f62602f55b5,185,17,59,109
Canterbury Medical Practice,http://www.canterburymedicalpractice.nhs.uk/,WCAG2AA,CT4 5BL,5d06a9b2e0673f62602f55b4,256,20,84,152
Dr Marianne Ford,https://doctors-surgery-deal-kent.co.uk/,WCAG2AA,CT14 9BX,5d06a9b2e0673f62602f55b3,215,52,63,100
Balmoral Surgery,http://www.balmoralsurgery.com,WCAG2AA,CT14 7EQ,5d06a9b2e0673f62602f55c4,354,23,106,225
Wingham Surgery,https://www.ayleshammedicalpractice.co.uk/,WCAG2AA,CT3 1BN
Sellindge Surgery,http://www.sellindgesurgery.nhs.uk/,WCAG2AA,TN25 6JX
Littlebourne Surgery,http://www.canterburymedicalpractice.nhs.uk/,WCAG2AA,CT3 1UH
Golf Road Surgery,http://www.strichardsroadsurgery.nhs.uk/,WCAG2AA,CT14 6PY,5d06a9b2e0673f62602f55c3,185,17,59,109
Ash Surgery,https://www.ashsurgery.nhs.uk,WCAG2AA,CT3 2HD
Market Place Surgery,http://marketplacesurgery.co.uk,WCAG2AA,CT13 9ET,5d06a9b2e0673f62602f55c2,217,20,63,134
The Butchery Surgery,http://www.sandwich.gpsurgery.net/,WCAG2AA,CT13 9DL
Cossington House Surgery,http://www.cossingtonhouse.co.uk,WCAG2AA,CT1 3HX,5d06a9b2e0673f62602f55c1,256,20,84,152
New Dover Road Surgery,http://www.newdoverroadsurgery.co.uk,WCAG2AA,CT1 3AP,5d06a9b2e0673f62602f5620,456,72,206,178
Canterbury Health Centre,http://www.sturrysurgery.co.uk,WCAG2AA,CT1 3JH,5d06a9b2e0673f62602f561f,128,26,47,55
Northgate Medical Practice,http://www.northgatemedicalpractice.com/,WCAG2AA,CT1 1WL,5d06a9b2e0673f62602f561e,323,44,149,130
Sturry Surgery,http://www.sturrysurgery.co.uk,WCAG2AA,CT2 0EF,5d06a9b2e0673f62602f561d,128,26,47,55
Wye Surgery,http://www.wyesurgery.co.uk,WCAG2AA,TN25 5AY,5d06a9b2e0673f62602f561c,209,17,41,151
Hersden Surgery,http://www.theheronmedicalpractice.co.uk,WCAG2AA,CT3 4EX,5d06a9b2e0673f62602f561b,213,42,40,131
Willesborough Health Centre,http://www.willesboroughhealthcentre.co.uk,WCAG2AA,TN24 0HZ,5d06a9b2e0673f62602f561a,301,20,82,199
Blean Surgery,http://www.northgatemedicalpractice.com,WCAG2AA,CT2 9HP,5d06a9b2e0673f62602f5619,323,44,149,130
Minster Surgery,http://www.minstersurgery-thanet.co.uk/,WCAG2AA,CT12 4AB,5d06a9b2e0673f62602f5618,357,30,90,237
Sydenham House Medical Centre,http://www.sydenhamhouse.co.uk,WCAG2AA,TN24 8DN,5d06a9b2e0673f62602f5617,293,144,23,126
New Hayesbank Surgery,http://www.hayesbankmedical.com,WCAG2AA,TN24 9JZ,5d06a9b2e0673f62602f5616,195,15,64,116
Hollington Surgery,http://www.hollingtonsurgery.co.uk,WCAG2AA,TN24 8UN,5d06a9b2e0673f62602f5615,228,18,91,119
Musgrove Park Medical Centre ,http://musgroveparksurgery.nhs.uk,WCAG2AA,TN23 7SP,5d06a9b2e0673f62602f5614
38 Herne And Broomfield Surgery,http://www.parksurgery.net,WCAG2AA,CT6 7LY,5d06a9b2e0673f62602f5613,311,67,27,217
Kingsnorth Medical Practice,http://www.kingsnorthmedicalpractice.co.uk,WCAG2AA,TN23 3ED,5d06a9b2e0673f62602f5637,259,44,81,134
Oak Hall Surgery,http://www.oakhallsurgery.nhs.uk,WCAG2AA,TN28 8BW,5d06a9b2e0673f62602f5636,230,22,81,127
Church Lane Health Centre,http://www.churchlanesurgerynewromney.nhs.uk,WCAG2AA,TN28 8ER,5d06a9b2e0673f62602f5635,271,14,138,119
Beltinge & Reculver Surgery,http://www.theheronmedicalpractice.co.uk,WCAG2AA,CT6 6SR,5d06a9b2e0673f62602f5634,213,42,40,131
Newington Road Surgery,http://www.newingtonroadsurgery.co.uk,WCAG2AA,CT12 6EW,5d06a9b2e0673f62602f5633,211,7,80,124
Hamstreet Surgery,http://www.hamstreetsurgery.com,WCAG2AA,TN26 2NJ,5d06a9b2e0673f62602f5632,289,20,121,148
The Grange Practice,http://www.thegrangepracticeramsgate.nhs.uk,WCAG2AA,CT11 8AD,5d06a9b2e0673f62602f5631,189,58,15,116
East Cliff Medical Practice,http://www.eastclifframsgate.nhs.uk/index.htm,WCAG2AA,CT11 8AD,5d06a9b2e0673f62602f5630,265,30,46,189
Summerhill Surgery,http://www.summerhillsurgery.co.uk,WCAG2AA,CT12 6SU,5d06a9b2e0673f62602f562f,220,56,41,123
Estuary View Medical Centre,http://www.whitstablemedicalpractice.co.uk,WCAG2AA,CT5 3SE,5d06a9b2e0673f62602f562e,368,60,21,287
The Heron Medical Practice,http://www.theheronmedicalpractice.co.uk,WCAG2AA,CT6 5NF,5d06a9b2e0673f62602f562d,217,41,45,131
Birchington Medical Centre,http://www.birchingtonmc.nhs.uk,WCAG2AA,CT7 9HQ,5d06a9b2e0673f62602f5449,254,30,45,179
Seasalter Surgery,http://www.saddletonandseasaltersurgery.co.uk/,WCAG2AA,CT5 4AR,5d06a9b2e0673f62602f5649,368,60,21,287
Westgate Surgery,http://www.westgatesurgery.com,WCAG2AA,LS21 3HD,5d06a9b2e0673f62602f5648,191,27,86,78
Broadstairs Medical Practice,http://www.broadstairsmedicalpractice.nhs.uk,WCAG2AA,CT10 2AJ
Mocketts Wood Surgery,http://www.mockettswoodsurgery.nhs.uk,WCAG2AA,CT10 2TR,5d06a9b2e0673f62602f5647,216,19,87,110
Newton Place Surgery,http://www.newtonplacesurgery.nhs.uk,WCAG2AA,ME13 8FH
Northdown Surgery,http://www.northdownsurgery.org.uk,WCAG2AA,CT9 2TR,5d06a9b2e0673f62602f5451,334,18,189,127
Faversham Medical Practice ,http://www.favershammedicalpractice.nhs.uk,WCAG2AA,ME13 8QR,5d06a9b2e0673f62602f5450,314,123,38,153
The Charing Medical Partnership,http://www.charingpractice.co.uk/,WCAG2AA,TN27 0AW,5d06a9b2e0673f62602f544f,134,14,80,40
Bethesda Medical Centre,https://bethesdamc.co.uk,WCAG2AA,CT9 3NR,5d06a9b2e0673f62602f544e,371,22,215,134
Woodchurch Surgery,http://www.woodchurchsurgery.co.uk/,WCAG2AA,TN26 3SF,5d06a9b2e0673f62602f544d,202,10,67,125
Dr A S Pannu & Partners,http://www.saintgeorgesmedicalcentre.co.uk/,WCAG2AA,ME12 4PS,5d06a9b2e0673f62602f544c,2,1,0,1
Dr Rb Kumar Practice,http://www.thesurgeryteynham.co.uk,WCAG2AA,ME9 9QL,5d06a9b2e0673f62602f544b,229,29,91,109
Len Valley Practice,http://www.lenvalleypractice.co.uk,WCAG2AA,ME17 2QF,5d06a9b2e0673f62602f544a
Ivy Court Surgery,http://www.ivycourtsurgery.co.uk,WCAG2AA,TN30 6RB,5d06a9b2e0673f62602f546a,443,53,237,153
Rye Medical Centre,http://www.ryemedicalcentre.com,WCAG2AA,TN31 7SQ,5d06a9b2e0673f62602f5469,133,25,38,70
The Glebe Medical Centre,http://www.lenvalleypractice.co.uk,WCAG2AA,ME17 1AP,5d06a9b2e0673f62602f5468
Memorial Medical Centre,http://www.memorialmedicalcentre.co.uk/,WCAG2AA,ME10 4XX,5d06a9b2e0673f62602f5467,393,169,14,210
London Road Medical Centre,https://www.thelondonroadmedicalcentre.nhs.uk,WCAG2AA,ME10 1ND,5d06a9b2e0673f62602f5466,179,15,40,124
Grovehurst Surgery,https://www.thegrovehurstsurgery.nhs.uk,WCAG2AA,ME10 2ST,5d06a9b2e0673f62602f5465,299,33,119,147
The Meads Medical Practice,http://www.meadsmedical.co.uk/,WCAG2AA,ME10 5AA,5d06a9b2e0673f62602f5464,344,5,232,107
Minster Medical Centre,http://www.mysurgerywebsite.co.uk/index.aspx?p=minmed,WCAG2AA,ME12 3LT,5d06a9b2e0673f62602f5463,83,5,27,51
Sheppey NHS Healthcare Centre,http://www.sheppeyhealthcarecentre.nhs.uk/,WCAG2AA,ME12 3LT,5d06a9b2e0673f62602f5462,151,40,21,90
Iwade Health Centre,http://www.iwadehealthcentre.nhs.uk,WCAG2AA,ME9 8TY,5d06a9b2e0673f62602f52eb,157,43,22,92
Dr S. Patel,http://www.drfahmyandpatelpractice.nhs.uk,WCAG2AA,ME11 5AQ,5d06a9b2e0673f62602f52ea,186,21,70,95
Churchmere Medical Group - Bridgewater,https://www.churchmere.co.uk,WCAG2AA,SY13 1QH,5d06a9b2e0673f62602f52e9,150,51,40,59
Wem & Prees Medical Practice,http://www.wemandpreeshealth.co.uk/,WCAG2AA,SY13 2DG,5d06a9b2e0673f62602f5300,281,58,91,132
Laurel Bank Surgery,http://www.malpassurgery.co.uk,WCAG2AA,SY14 8PS,5d06a9b2e0673f62602f52ff,2,2,0,0
Wem And Prees Medical Practice,http://www.wemandpreeshealth.co.uk/,WCAG2AA,SY4 5AF,5d06a9b2e0673f62602f52fe,281,58,91,132
Wrenbury Medical Practice,http://www.wrenburymedicalcentre.co.uk,WCAG2AA,CW5 8EW,5d06a9b2e0673f62602f52fd,200,54,25,121
Clive Surgery,http://www.clivemedicalpractice.nhs.uk/,WCAG2AA,SY4 5HG,5d06a9b2e0673f62602f52fc,185,7,65,113
Audlem Medical Practice,http://www.audlemmedicalpractice.nhs.uk,WCAG2AA,CW3 0AH,5d06a9b2e0673f62602f52fb,264,59,25,180
Market Drayton Medical Practice,http://www.draytonmedicalpractice.nhs.uk,WCAG2AA,TF9 3AL,5d06a9b2e0673f62602f52fa,508,90,169,249
Dr Lalit Gurnani,http://www.nantwichhealthcentre.nhs.uk,WCAG2AA,CW5 5NX,5d06a9b2e0673f62602f52f9,168,46,29,93
The Kiltearn Medical Ctr.,http://www.kiltearnmedicalcentre.nhs.uk,WCAG2AA,CW5 5NX,5d06a9b2e0673f62602f52f8,141,37,27,77
Shawbury Medical Practice,http://www.shawburymedicalpractice.nhs.uk/,WCAG2AA,TF6 6LY,5d06a9b2e0673f62602f52f7,138,14,51,73
Bunbury Medical Practice ,https://bunburymedicalcentre.gpsurgery.net/,WCAG2AA,CW6 9PE,5d06a9b2e0673f62602f52f6,423,181,38,204
Farndon Village Surgery,http://www.thevillagesurgeriesgroup.co.uk,WCAG2AA,CH3 6PT,5d06a9b2e0673f62602f52f5,315,83,72,160
Tattenhall Village Surgery,http://www.thevillagesurgeriesgroup.co.uk,WCAG2AA,CH3 9RE,5d06a9b2e0673f62602f52f4,320,83,76,161
Dr Guildford And Partners,http://www.prescottsurgery.co.uk/,WCAG2AA,SY4 2DR,5d06a9b2e0673f62602f52f3,216,61,19,136
Gresty Brook Surgery,http://www.grosvenormedicalcentre.org.uk,WCAG2AA,CW2 6NA,5d06a9b2e0673f62602f5311,175,10,48,117
Ashley Surgery,http://www.ashleysurgery.co.uk,WCAG2AA,TF9 4LF,5d06a9b2e0673f62602f5310,76,1,33,42
Earnswood Medical Centre,http://www.earnswood.nhs.uk,WCAG2AA,CW1 3AW,5d06a9b2e0673f62602f530f,158,39,25,94
Millcroft Medical Centre,http://www.millcroftmedicalcentre.nhs.uk,WCAG2AA,CW1 3AW,5d06a9b2e0673f62602f530e,178,44,21,113
Dr Campbell and Partners - Tarporley Healthcentre,https://tarporleygps.gpsurgery.net/,WCAG2AA,CW6 0BE,5d06a9b2e0673f62602f530d,421,185,33,203
Drs Adey & Dancy - Tarporley Health Centre,http://www.tarporleydoctors.gpsurgery.net/webdesk,WCAG2AA,CW6 0BE,5d06a9b2e0673f62602f530c,478,213,29,236
Grosvenor Medical Centre,http://www.grosvenormedicalcentrestalybridge.nhs.uk,WCAG2AA,SK15 1RZ,5d06a9b2e0673f62602f530b,215,12,77,126
Moss Lane Surgery,http://www.madeleypractice.co.uk/,WCAG2AA,CW3 9NQ,5d06a9b2e0673f62602f5327,109,29,9,71
Severn Fields Medical Practice,http://www.severnfields.co.uk,WCAG2AA,SY1 4RQ,5d06a9b2e0673f62602f5326
Hungerford Medical Centre,http://www.hungerfordmedicalcentre.nhs.uk/,WCAG2AA,CW1 5HA,5d06a9b2e0673f62602f5325,140,38,28,74
Cambrian Surgery,http://www.cambriansurgery.co.uk/,WCAG2AA,SY11 1GA,5d06a9b2e0673f62602f5324,183,25,60,98
The Caxton Surgery,http://www.caxtonsurgery.co.uk/,WCAG2AA,SY11 1RD,5d06a9b2e0673f62602f5323,317,15,196,106
Plas Ffynnon Medical Centre,https://www.pfmc.co.uk/,WCAG2AA,SY11 2RB,5d06a9b2e0673f62602f5322,95,4,38,53
Dr Campbell and Partners,http://www.tarporleygps.gpsurgery.net,WCAG2AA,CH3 8ET,5d06a9b2e0673f62602f5321,421,185,33,203
Knockin Medical Centre,http://www.knockinmedicalcentre.nhs.uk,WCAG2AA,SY10 8HL,5d06a9b2e0673f62602f5320,240,24,94,122
Haslington Surgery,http://www.haslingtonsurgery.nhs.uk/,WCAG2AA,CW1 5QY,5d06a9b2e0673f62602f531f,146,40,25,81
Linden Hall Surgery,http://www.lindenhallsurgery.co.uk/,WCAG2AA,TF10 8NB,5d06a9b2e0673f62602f531e,266,103,42,121
Belvidere Medical Practice,http://www.belvideremedicalpractice.nhs.uk,WCAG2AA,SY2 5LS,5d06a9b2e0673f62602f531d,273,22,127,124
Claremont Bank Surgery,http://www.claremontbanksurgery.co.uk/,WCAG2AA,SY1 1RL,5d06a9b2e0673f62602f531c,252,65,37,150
South Hermitage Surgery,http://www.shsurgery.co.uk,WCAG2AA,SY3 7JS,5d06a9b2e0673f62602f531b,246,53,59,134
Marden Medical Practice,https://www.mardenpractice.gpsurgery.net,WCAG2AA,SY2 6DL,5d06a9b2e0673f62602f531a,444,173,40,231
Shawbirch Medical Centre,http://www.shawbirchmedicalcentre.nhs.uk,WCAG2AA,TF5 0LW,5d06a9b2e0673f62602f5345,237,7,83,147
Launceston Close Surgery,http://www.launcestonclosesurgery.nhs.uk,WCAG2AA,CW7 1LY,5d06a9b2e0673f62602f5344,177,8,61,108
Marysville Medical Practice,http://www.marysville.co.uk,WCAG2AA,SY3 7QR,5d06a9b2e0673f62602f5343,149,56,3,90
Radbrook Green Surgery,http://www.radbrookgreen.co.uk,WCAG2AA,SY3 6DU,5d06a9b2e0673f62602f5342,292,43,127,122
Kelsall Medical Centre,http://www.kelsallmedicalcentre.org.uk,WCAG2AA,CW6 0QG,5d06a9b2e0673f62602f5341,305,66,58,181
Heath Lane Medical Centre,http://www.heathlanemedicalcentre.co.uk,WCAG2AA,CH3 5UJ,5d06a9b2e0673f62602f5340,282,109,31,142
The Weaver Vale Surgery,http://www.weavervalesurgery.nhs.uk,WCAG2AA,CW7 1AT,5d06a9b2e0673f62602f533f
Swanlow Medical Centre,http://www.swanlowmedicalcentre.co.uk,WCAG2AA,CW7 1AT,5d06a9b2e0673f62602f533e,149,7,25,117
High Street Practice Winsford,http://www.highstreetmedicalpractice.co.uk/,WCAG2AA,CW7 1AT,5d06a9b2e0673f62602f533d,260,23,101,136
Leegomery Surgery,https://www.teldoc.org,WCAG2AA,TF1 6PP
Boughton Medical Group,http://www.boughtonhealthcentre.co.uk,WCAG2AA,CH2 3DP
City Walls And Saughall Medical Centres,http://www.citywallsmedicalcentre.co.uk,WCAG2AA,CH1 2NR
Northgate Village Surgery,http://northgatesurgery.co.uk,WCAG2AA,CH1 4DS
Fountains Medical Practice,http://www.fountainsmedicalpractice.co.uk,WCAG2AA,CH1 4DS
The Elms Medical Practice,http://www.elmsmedicalcentre.co.uk,WCAG2AA,CH1 4DS,5d06a9b2e0673f62602f55dd,274,67,69,138
Garden Lane Medical Ctr.,http://www.gardenlanemedicalcentre.co.uk,WCAG2AA,CH1 4EN,5d06a9b2e0673f62602f55dc,228,10,73,145
Willow Wood Surgery,http://www.willowwoodsurgery.co.uk,WCAG2AA,CW7 3GY,5d06a9b2e0673f62602f55db
Wellington Medical Practice,http://www.wellingtonmedicalpractice.co.uk,WCAG2AA,TF1 1PZ,5d06a9b2e0673f62602f55da,433,62,135,236
Hadley Health Centre,https://www.teldoc.org,WCAG2AA,TF1 5NG,5d06a9b2e0673f62602f55d9,280,71,30,179
The Beeches Medical Practice,http://www.thebeechesmedicalpractice.co.uk/,WCAG2AA,SY3 0PF,5d06a9b2e0673f62602f55d8,262,43,81,138
Highfield Clinic,https://www.teldoc.org,WCAG2AA,TF1 5NX,5d06a9b2e0673f62602f55d7,289,71,33,185
Ashfields Primary Care Centre,http://www.sandbachgps.nhs.uk,WCAG2AA,CW11 1EQ,5d06a9b2e0673f62602f55d6,185,52,31,102
Donnington Medical Practice,http://www.donningtonmedicalpractice.co.uk,WCAG2AA,TF2 8EA,5d06a9b2e0673f62602f55d5,220,14,82,124
Waters Edge Medical Centre,http://www.watersedge-middlewich.nhs.uk,WCAG2AA,CW10 9BH,5d06a9b2e0673f62602f55d4,1,0,0,1
Western Ave Medical Ctre,http://www.westernavenue.org.uk,WCAG2AA,CH1 5PA,5d06a9b2e0673f62602f55d3,3,1,0,2
The Elms Medical Practice (Blacon Clinic),http://www.elmsmedicalcentre.co.uk,WCAG2AA,CH1 5DZ,5d06a9b2e0673f62602f55d2,274,67,69,138
Oakengates Medical Practice,https://www.teldoc.org/,WCAG2AA,TF2 6JJ,5d06a9b2e0673f62602f55d1,289,71,33,185
Charlton Medical Centre,http://www.charltonmedicalcentre.nhs.uk,WCAG2AA,TF2 6AQ,5d06a9b2e0673f62602f55d0,231,8,95,128
Lawley Medical Practice,https://www.teldoc.org,WCAG2AA,TF4 2LL,5d06a9b2e0673f62602f55cf,289,71,33,185
Shifnal & Priorslee Medical Practice,http://www.shifnalandpriorsleemp.co.uk,WCAG2AA,TF2 9GZ,5d06a9b2e0673f62602f55ce,265,22,117,126
Westbury Medical Centre,http://www.westbury.nhs.uk,WCAG2AA,N22 6RX,5d06a9b2e0673f62602f55cd,248,45,25,178
City Walls and Saughall Medical Centre,http://www.citywallsmedicalcentre.co.uk/,WCAG2AA,CH1 6EN,5d06a9b2e0673f62602f55cc,233,96,36,101
Holliwell Practice,http://www.hollinswoodpriorsleesurgery.co.uk/,WCAG2AA,TF3 2BH,5d06a9b2e0673f62602f55cb,216,13,76,127
Hollinswood And Priorslee Surgery,http://www.hollinswoodpriorsleesurgery.co.uk,WCAG2AA,TF3 2EW,5d06a9b2e0673f62602f5350,216,13,76,127
