"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,7)\" onmousedown=\"cmItemMouseDown (this,1,null,0,7)\" onmouseout=\"cmItemMouseOut (this,1,null,0,7)\" onmouseup=\"cmItemMouseUp (this,1,null,0,7)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(8) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,7)\" onmousedown=\"cmItemMouseDown (this,1,null,0,7)\" onmouseout=\"cmItemMouseOut (this,1,null,0,7)\" onmouseup=\"cmItemMouseUp (this,1,null,0,7)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(8) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,7)\" onmousedown=\"cmItemMouseDown (this,1,null,0,7)\" onmouseout=\"cmItemMouseOut (this,1,null,0,7)\" onmouseup=\"cmItemMouseUp (this,1,null,0,7)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(8) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Home&nbsp;Visits</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(8) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table summary=\"main menu\" cellpadding=\"0\" border=\"0\" cellspacing=\"0\" class=\"ThemeMenuBar3MenuOuter\"><tbody><tr><td><table class=\"Th...</table>","#MenuIDMenuBar3 > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H73.3.LayoutTable","This table appears to be used for layout, but contains a summary attribute. Layout tables must not contain summary attributes, or if supplied, must be empty.","error","<table summary=\"main menu\" cellpadding=\"0\" border=\"0\" cellspacing=\"0\" class=\"ThemeMenuBar3MenuOuter\"><tbody><tr><td><table class=\"Th...</table>","#MenuIDMenuBar3 > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar3Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar3...</table>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(1) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,8)\" onmousedown=\"cmItemMouseDown (this,1,null,1,8)\" onmouseout=\"cmItemMouseOut (this,1,null,1,8)\" onmouseup=\"cmItemMouseUp (this,1,null,1,8)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,8)\" onmousedown=\"cmItemMouseDown (this,1,null,1,8)\" onmouseout=\"cmItemMouseOut (this,1,null,1,8)\" onmouseup=\"cmItemMouseUp (this,1,null,1,8)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,8)\" onmousedown=\"cmItemMouseDown (this,1,null,1,8)\" onmouseout=\"cmItemMouseOut (this,1,null,1,8)\" onmouseup=\"cmItemMouseUp (this,1,null,1,8)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,8)\" onmousedown=\"cmItemMouseDown (this,1,null,1,8)\" onmouseout=\"cmItemMouseOut (this,1,null,1,8)\" onmouseup=\"cmItemMouseUp (this,1,null,1,8)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar3MainItemText\">Long&nbsp;Term&nbsp;Conditions</td>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(1) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar3Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar3...</table>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(2) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,9)\" onmousedown=\"cmItemMouseDown (this,1,null,1,9)\" onmouseout=\"cmItemMouseOut (this,1,null,1,9)\" onmouseup=\"cmItemMouseUp (this,1,null,1,9)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,9)\" onmousedown=\"cmItemMouseDown (this,1,null,1,9)\" onmouseout=\"cmItemMouseOut (this,1,null,1,9)\" onmouseup=\"cmItemMouseUp (this,1,null,1,9)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,9)\" onmousedown=\"cmItemMouseDown (this,1,null,1,9)\" onmouseout=\"cmItemMouseOut (this,1,null,1,9)\" onmouseup=\"cmItemMouseUp (this,1,null,1,9)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,9)\" onmousedown=\"cmItemMouseDown (this,1,null,1,9)\" onmouseout=\"cmItemMouseOut (this,1,null,1,9)\" onmouseup=\"cmItemMouseUp (this,1,null,1,9)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar3MainItemText\">New&nbsp;Patients</td>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(2) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar3Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar3...</table>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(3) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,10)\" onmousedown=\"cmItemMouseDown (this,1,null,1,10)\" onmouseout=\"cmItemMouseOut (this,1,null,1,10)\" onmouseup=\"cmItemMouseUp (this,1,null,1,10)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,10)\" onmousedown=\"cmItemMouseDown (this,1,null,1,10)\" onmouseout=\"cmItemMouseOut (this,1,null,1,10)\" onmouseup=\"cmItemMouseUp (this,1,null,1,10)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,10)\" onmousedown=\"cmItemMouseDown (this,1,null,1,10)\" onmouseout=\"cmItemMouseOut (this,1,null,1,10)\" onmouseup=\"cmItemMouseUp (this,1,null,1,10)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,10)\" onmousedown=\"cmItemMouseDown (this,1,null,1,10)\" onmouseout=\"cmItemMouseOut (this,1,null,1,10)\" onmouseup=\"cmItemMouseUp (this,1,null,1,10)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar3MainItemText\">Newsroom</td>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(3) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar3Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar3...</table>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(4) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,11)\" onmousedown=\"cmItemMouseDown (this,1,null,1,11)\" onmouseout=\"cmItemMouseOut (this,1,null,1,11)\" onmouseup=\"cmItemMouseUp (this,1,null,1,11)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,11)\" onmousedown=\"cmItemMouseDown (this,1,null,1,11)\" onmouseout=\"cmItemMouseOut (this,1,null,1,11)\" onmouseup=\"cmItemMouseUp (this,1,null,1,11)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,11)\" onmousedown=\"cmItemMouseDown (this,1,null,1,11)\" onmouseout=\"cmItemMouseOut (this,1,null,1,11)\" onmouseup=\"cmItemMouseUp (this,1,null,1,11)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,11)\" onmousedown=\"cmItemMouseDown (this,1,null,1,11)\" onmouseout=\"cmItemMouseOut (this,1,null,1,11)\" onmouseup=\"cmItemMouseUp (this,1,null,1,11)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar3MainItemText\">On&nbsp;Line&nbsp;Services</td>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(4) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar3Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar3...</table>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(5) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,12)\" onmousedown=\"cmItemMouseDown (this,1,null,1,12)\" onmouseout=\"cmItemMouseOut (this,1,null,1,12)\" onmouseup=\"cmItemMouseUp (this,1,null,1,12)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,12)\" onmousedown=\"cmItemMouseDown (this,1,null,1,12)\" onmouseout=\"cmItemMouseOut (this,1,null,1,12)\" onmouseup=\"cmItemMouseUp (this,1,null,1,12)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,12)\" onmousedown=\"cmItemMouseDown (this,1,null,1,12)\" onmouseout=\"cmItemMouseOut (this,1,null,1,12)\" onmouseup=\"cmItemMouseUp (this,1,null,1,12)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,12)\" onmousedown=\"cmItemMouseDown (this,1,null,1,12)\" onmouseout=\"cmItemMouseOut (this,1,null,1,12)\" onmouseup=\"cmItemMouseUp (this,1,null,1,12)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar3MainItemText\">Opening&nbsp;Hours</td>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(5) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar3Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar3...</table>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(6) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,13)\" onmousedown=\"cmItemMouseDown (this,1,null,1,13)\" onmouseout=\"cmItemMouseOut (this,1,null,1,13)\" onmouseup=\"cmItemMouseUp (this,1,null,1,13)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,13)\" onmousedown=\"cmItemMouseDown (this,1,null,1,13)\" onmouseout=\"cmItemMouseOut (this,1,null,1,13)\" onmouseup=\"cmItemMouseUp (this,1,null,1,13)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,13)\" onmousedown=\"cmItemMouseDown (this,1,null,1,13)\" onmouseout=\"cmItemMouseOut (this,1,null,1,13)\" onmouseup=\"cmItemMouseUp (this,1,null,1,13)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar3MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,1,13)\" onmousedown=\"cmItemMouseDown (this,1,null,1,13)\" onmouseout=\"cmItemMouseOut (this,1,null,1,13)\" onmouseup=\"cmItemMouseUp (this,1,null,1,13)\"><td class=\"ThemeMen...","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar3MainItemText\">Our&nbsp;Services</td>","#MenuIDMenuBar3 > table > tbody > tr > td:nth-child(6) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table summary=\"main menu\" cellpadding=\"0\" border=\"0\" cellspacing=\"0\" class=\"ThemeMenuBar1MenuOuter\"><tbody><tr><td><table class=\"Th...</table>","#MenuIDMenuBar1 > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H73.3.LayoutTable","This table appears to be used for layout, but contains a summary attribute. Layout tables must not contain summary attributes, or if supplied, must be empty.","error","<table summary=\"main menu\" cellpadding=\"0\" border=\"0\" cellspacing=\"0\" class=\"ThemeMenuBar1MenuOuter\"><tbody><tr><td><table class=\"Th...</table>","#MenuIDMenuBar1 > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar1Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar1...</table>","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(1) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,14)\" onmousedown=\"cmItemMouseDown (this,1,null,2,14)\" onmouseout=\"cmItemMouseOut (this,1,null,2,14)\" onmouseup=\"cmItemMouseUp (this,1,null,2,14)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,14)\" onmousedown=\"cmItemMouseDown (this,1,null,2,14)\" onmouseout=\"cmItemMouseOut (this,1,null,2,14)\" onmouseup=\"cmItemMouseUp (this,1,null,2,14)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,14)\" onmousedown=\"cmItemMouseDown (this,1,null,2,14)\" onmouseout=\"cmItemMouseOut (this,1,null,2,14)\" onmouseup=\"cmItemMouseUp (this,1,null,2,14)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,14)\" onmousedown=\"cmItemMouseDown (this,1,null,2,14)\" onmouseout=\"cmItemMouseOut (this,1,null,2,14)\" onmouseup=\"cmItemMouseUp (this,1,null,2,14)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar1MainItemText\">Our&nbsp;Team</td>","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(1) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar1Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar1...</table>","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(2) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,15)\" onmousedown=\"cmItemMouseDown (this,1,null,2,15)\" onmouseout=\"cmItemMouseOut (this,1,null,2,15)\" onmouseup=\"cmItemMouseUp (this,1,null,2,15)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,15)\" onmousedown=\"cmItemMouseDown (this,1,null,2,15)\" onmouseout=\"cmItemMouseOut (this,1,null,2,15)\" onmouseup=\"cmItemMouseUp (this,1,null,2,15)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,15)\" onmousedown=\"cmItemMouseDown (this,1,null,2,15)\" onmouseout=\"cmItemMouseOut (this,1,null,2,15)\" onmouseup=\"cmItemMouseUp (this,1,null,2,15)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar1MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,2,15)\" onmousedown=\"cmItemMouseDown (this,1,null,2,15)\" onmouseout=\"cmItemMouseOut (this,1,null,2,15)\" onmouseup=\"cmItemMouseUp (this,1,null,2,15)\"><td class=\"ThemeMen...","#MenuIDMenuBar1 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
